group	ID	Link	nseqs.orig	sobs.orig	coverage	nseqs.norm	sobs.norm	bergerparker	chao	shannon	simpson	ace
806210g	806210	g	65604	564	0.998826	9934	301	0.241695	441.947368	3.81181	0.072788	516.716631
806210s	806210	s	54586	592	0.998443	9972	405	0.111512	685.5	4.349985	0.029344	776.012376
806237e	806237	e	52741	277	0.998995	9990	187	0.231331	261.285714	3.051521	0.100251	316.781136
806237g	806237	g	61754	363	0.999271	9961	224	0.121775	319.689655	3.699593	0.042999	313.833642
806237s	806237	s	38936	257	0.999075	10017	221	0.124988	375.05	3.717211	0.047265	432.027037
806288g	806288	g	68212	323	0.999252	9975	207	0.197694	312.12	3.352763	0.072047	359.404761
806441s	806441	s	21016	280	0.997145	9964	220	0.247892	275.3125	3.340623	0.086221	275.201843
806481g	806481	g	81855	265	0.999548	9966	142	0.101545	199.4	3.407717	0.048623	221.087548
806568e	806568	e	51498	295	0.99868	9990	193	0.155856	339.714286	3.527956	0.054399	493.750081
806568s	806568	s	53545	285	0.999066	9987	187	0.162611	295.043478	3.390553	0.060169	378.551556
806694g	806694	g	62029	499	0.998291	9942	259	0.129551	371.857143	3.894586	0.044805	420.724848
806711g	806711	g	67919	375	0.998763	9966	211	0.167269	284.2	3.458655	0.07189	335.933314
806711s	806711	s	70306	545	0.998677	9967	319	0.197251	433.195652	3.964205	0.056627	520.873413
807099s	807099	s	85883	285	0.999511	9972	169	0.237766	206.05	3.115039	0.098977	201.995721
807154g	807154	g	93885	330	0.999404	9977	186	0.129197	271.954545	3.402088	0.058365	265.222157
807154s	807154	s	39968	466	0.997898	10061	382	0.141437	732.142857	4.049538	0.040532	967.978417
807187g	807187	g	76023	674	0.998816	9932	322	0.090012	604.027778	3.969716	0.0356	893.340063
807360s	807360	s	62219	524	0.998714	9949	314	0.101317	455.775	4.039983	0.035776	439.833265
807529s	807529	s	32851	329	0.998113	10000	267	0.0794	358.972973	3.952795	0.036556	414.66517
